Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
Liberty Energy - Denver / Henderson,Frac / Wireline / Completions,National / Major,Standard,9540 East 104th Avenue,Henderson,CO,Needs direct confirmation,https://libertyenergy.com/,39.920000,-104.866100,City-level geocode; address ready,Medium,Source verified; direct call recommended,https://www.linkedin.com/company/libertyenergy ; https://libertyenergy.com/,"Public profile lists Henderson, Colorado location; exact service line should be confirmed.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,39.92,-104.8661,,,City centroid / physical address needed,39.920000|-104.866100,1,Single marker; tooltip opens on hover
Columbine Corporation - Rockies Operations,Mudlogging / Wellsite Geology / Geosteering,National / Rockies,High,5856 S Lowell Blvd. 32-405,Littleton,CO,303-289-7764,https://columbineco.com/,39.613300,-105.016600,City-level geocode,High,Company source,https://columbineco.com/locations,"Columbine lists Rockies operations in Littleton, CO; important for DJ/Rockies support layer.",Confirmed oilfield mudlogging/geosteering fit.,Regional operations,V2.13 Mudlogging Expansion,39.6133,-105.0166,,,City centroid / physical address needed,39.613300|-105.016600,1,Single marker; tooltip opens on hover
Ranger Energy Services - Milliken,Workover Rigs / Wireline / Ancillary Services,National / Multi-basin,High,Exact address pending,Milliken,CO,Needs direct confirmation,https://www.rangerenergy.com/,40.329400,-104.855300,City-level geocode; exact yard pending,High,Company/source verified; direct-call before use,https://www.rangerenergy.com/,"Colorado well-service rig lead; Ranger provides mobile rig well services, cased-hole wireline and ancillary services.",Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,40.3294,-104.8553,,,City centroid / physical address needed,40.329400|-104.855300,1,Single marker; tooltip opens on hover
Pense Bros. Exploration Drilling - Trinidad Branch,Drilling Contractor / Rotary Air Drilling,Regional,High,City-level branch location; exact yard pending,Trinidad,CO,Needs direct confirmation,,37.169500,-104.500500,City-level geocode,High,Rigzone directory lead; direct call required,https://www.rigzone.com/directory/company/5889/Pense-Bros-Exploration-Drilling/,"Rigzone lists Trinidad, CO as a branch office for Pense Bros.; relevant to Raton/DJ/Rockies shallow gas and air drilling sweeps.",Confirmed oil and gas / natural gas drilling fit per Rigzone; current branch status must be verified.,Branch / drilling contractor lead,Rigzone Directory V2.10,37.1695,-104.5005,,,City centroid / physical address needed,37.169500|-104.500500,1,Single marker; tooltip opens on hover
Bradford Supply - Bloomington,Oilfield Supply / Pipe / PVF,Regional / Multi-location,High,2000 Bunn St.,Bloomington,IL,309-828-8313,https://bradfordsupplycompany.com/,40.484200,-88.993700,City-level geocode; address ready,High,Source verified; direct call recommended,https://bradfordsupplycompany.com/locations.php ; https://bradfordsupplycompany.com/markets.html,"Bradford Supply lists branches in Illinois, Indiana, Kentucky, Michigan and Wyoming and explicitly identifies an oilfield market serving drilling, production and pipeline.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,40.4842,-88.9937,,,City centroid / physical address needed,40.484200|-88.993700,1,Single marker; tooltip opens on hover
Bradford Supply - Bridgeport,Oilfield Supply / Pipe / PVF,Regional / Multi-location,High,137 Industry Road,Bridgeport,IL,618-945-2611,https://bradfordsupplycompany.com/,38.705600,-87.760300,City-level geocode; address ready,High,Source verified; direct call recommended,https://bradfordsupplycompany.com/locations.php ; https://bradfordsupplycompany.com/markets.html,"Bradford Supply lists branches in Illinois, Indiana, Kentucky, Michigan and Wyoming and explicitly identifies an oilfield market serving drilling, production and pipeline.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,38.7056,-87.7603,,,City centroid / physical address needed,38.705600|-87.760300,1,Single marker; tooltip opens on hover
Bradford Supply - Carmi,Oilfield Supply / Pipe / PVF,Regional / Multi-location,High,901 E. Main St.,Carmi,IL,618-382-5851,https://bradfordsupplycompany.com/,38.090900,-88.158600,City-level geocode; address ready,High,Source verified; direct call recommended,https://bradfordsupplycompany.com/locations.php ; https://bradfordsupplycompany.com/markets.html,"Bradford Supply lists branches in Illinois, Indiana, Kentucky, Michigan and Wyoming and explicitly identifies an oilfield market serving drilling, production and pipeline.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,38.0909,-88.1586,,,City centroid / physical address needed,38.090900|-88.158600,6,Constellation layout at shared city; tooltip opens on click
"Dillman Services, Inc.",Chemical Treatment / Oilfield Chemicals,Local / Regional,High,121 Council St,Carmi,IL,(618) 382-4720,https://www.dillmanservices.com/,38.0981844,-88.1483667,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://dillmanservices.com/about.html ; https://maps.google.com/?cid=4017113128657888401 ; https://www.dillmanservices.com/,"Illinois Basin chemical manufacturer/distributor for oil production, stimulation, acidizing, fracturing, corrosion inhibitors and water-handling treatments. ; Google Places profile matched Dillman Service Inc; 121 Council St, Carmi, IL 62821, USA; (618) 382-4720; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield chemical fit,Map-profile-enriched provider,V2.14 User requested service-category expansion,38.0909,-88.1586,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,38.0981844|-88.1483667,1,Single marker; tooltip opens on click
Geo. N. Mitchell Drilling Company,Drilling Contractor / Workover Rigs,Local / Regional,High,1239 County Rd 1500 N,Carmi,IL,(618) 382-2343,https://www.mitchell-drilling.com/,38.0971853,-88.14413250000001,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.mitchell-drilling.com/ ; https://www.mitchell-drilling.com/service-rigs/service-rigs ; https://maps.google.com/?cid=3826353866187037525,"Illinois Basin drilling contractor and service company ; erroneous south-of-Carmi coordinate corrected to Carmi city location. ; Google Places profile matched Geo N Mitchell Drilling Co Inc; 1239 County Rd 1500 N, Carmi, IL 62821, USA; (618) 382-2343; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,37.9973,-88.1586,,Coordinate corrected to Carmi IL 2026-06-22 ; Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,38.0971853|-88.14413250000001,1,Single marker; tooltip opens on click
"Les Wilson, Inc.",Drilling Contractor,Local / Regional,High,205 Industrial Ave,Carmi,IL,618-382-4667,http://www.leswilsoninc.com,38.090900,-88.158600,City coordinate corrected; street-level geocode pending,High,Public listing / IL permit source; Carmi coordinate corrected 2026-06-22,https://oilgasleads.com/?download_id=5454&smd_process_download=1 ; https://dnr.illinois.gov/content/dam/soi/en/web/dnr/oilandgas/documents/welllog/log2021-0705.pdf,Illinois Basin oil and gas drilling contractor; erroneous south-of-Carmi coordinate corrected pending street-level geocode of 205 Industrial Ave.,Confirmed oilfield specific,V2.4 specialty/service expansion,Existing V2.7 record,37.9973,-88.1586,,Coordinate corrected to Carmi IL 2026-06-22,Street address present / street geocode needed,38.090900|-88.158600,6,Constellation layout at shared city; tooltip opens on click
Reliance Well Services - Illinois Camp (Carmi),Frac / Pressure Pumping,Regional / Multi-basin,High,645 West Highway 14,Carmi,IL,606-949-1201 / 606-465-3410,https://www.reliancewellservices.com/,38.090900,-88.158700,Address/city-level geocode; address ready,High,Company source verified; direct call recommended,https://www.reliancewellservices.com/contact,Reliance IL Camp; Illinois Basin frac/stimulation support.,Confirmed oilfield specific,Regional frac camp / Illinois Basin,V2.9 correction,38.0909,-88.1587,,,City centroid / physical address needed,38.090900|-88.158700,6,Constellation layout at shared city; tooltip opens on click
Warren Service Company - Carmi,Fishing / Downhole Tools / Basin Service | Downhole Tools / Fishing / Core / Workover Support,Local / Regional,High,Exact address pending,Carmi,IL,Needs direct confirmation,https://www.warrenserviceco.com/,38.090900,-88.158700,City-level geocode; exact yard pending,High,Company/source verified; direct-call before use | Company source verified; direct call for exact yard/contact,https://www.warrenserviceco.com/ | https://www.warrenserviceco.com/about-us,"Illinois Basin downhole/fishing services company; retain as high-priority specialty provider. | Illinois Basin downhole service, fishing tool, hydraulic business; source states services to complete, treat, fish, core, and work over wellbores for 30+ years.",Confirmed oilfield specific,V2.8 city-adjacent expansion | V2.4 specialty/service expansion,V2.8 town/city adjacency expansion | Existing V2.7 record,38.0909,-88.1587,,"Kept best record; merged/removed 1 duplicate(s): Warren Service Company, LLC",City centroid / physical address needed,38.090900|-88.158700,6,Constellation layout at shared city; tooltip opens on click
Bradford Supply - Clay City,Oilfield Supply / Pipe / PVF,Regional / Multi-location,High,19148 Highway 50,Clay City,IL,618-676-1166,https://bradfordsupplycompany.com/,38.688100,-88.354500,City-level geocode; address ready,High,Source verified; direct call recommended,https://bradfordsupplycompany.com/locations.php ; https://bradfordsupplycompany.com/markets.html,"Bradford Supply lists branches in Illinois, Indiana, Kentucky, Michigan and Wyoming and explicitly identifies an oilfield market serving drilling, production and pipeline.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,38.6881,-88.3545,,,City centroid / physical address needed,38.688100|-88.354500,1,Single marker; tooltip opens on hover
Bradford Supply - Decatur,Oilfield Supply / Pipe / PVF,Regional / Multi-location,High,982 East Eldorado,Decatur,IL,217-429-9216,https://bradfordsupplycompany.com/,39.840300,-88.954800,City-level geocode; address ready,High,Source verified; direct call recommended,https://bradfordsupplycompany.com/locations.php ; https://bradfordsupplycompany.com/markets.html,"Bradford Supply lists branches in Illinois, Indiana, Kentucky, Michigan and Wyoming and explicitly identifies an oilfield market serving drilling, production and pipeline.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,39.8403,-88.9548,,,City centroid / physical address needed,39.840300|-88.954800,1,Single marker; tooltip opens on hover
"Big Al's Machine, Inc.",Machine Shop / Pumpjack Parts / Gas Engines,Local / Illinois Basin,High,204 IL-14,Enfield,IL,(618) 963-2619,http://www.bigalsmachine.com/,38.0830492,-88.3359425,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.bigalsmachine.com/ ; https://www.industrynet.com/listing/450821/big-als-machine-inc ; https://maps.google.com/?cid=3670512231489220751 ; http://www.bigalsmachine.com/,"Oilfield/natural-gas industry repair, sales, pumpjacks, gas engines, gearbox/machining and parts support ; strong Illinois Basin local vendor. ; Google Places profile matched Big Al's Machine Inc; 204 IL-14, Enfield, IL 62835, USA; (618) 963-2619; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,38.0998,-88.3409,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,38.0830492|-88.3359425,1,Single marker; tooltip opens on click
